
2021/11/13 (13:38:09) | ===> btop++ v.1.0.20
2021/11/13 (13:38:09) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2021/11/22 (13:36:13) | ===> btop++ v.1.1.0
2021/11/22 (13:36:13) | ERROR: Stall in Runner thread, restarting!

2021/11/22 (13:36:49) | ===> btop++ v.1.1.0
2021/11/22 (13:36:49) | ERROR: Stall in Runner thread, restarting!

2022/01/08 (06:28:18) | ===> btop++ v.1.1.4
2022/01/08 (06:28:18) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/04/06 (04:18:11) | ===> btop++ v.1.2.5
2022/04/06 (04:18:11) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/05/31 (22:16:54) | ===> btop++ v.1.2.7
2022/05/31 (22:16:54) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/05/31 (22:17:38) | ===> btop++ v.1.2.7
2022/05/31 (22:17:38) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/05/31 (22:17:47) | ===> btop++ v.1.2.7
2022/05/31 (22:17:47) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2022/08/29 (00:19:19) | ===> btop++ v.1.2.8
2022/08/29 (00:19:19) | ERROR: Stall in Runner thread, restarting!

2022/09/05 (20:05:43) | ===> btop++ v.1.2.9
2022/09/05 (20:05:43) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/05 (22:27:13) | ===> btop++ v.1.2.9
2022/09/05 (22:27:13) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/05 (22:36:26) | ===> btop++ v.1.2.9
2022/09/05 (22:36:26) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/05 (22:48:21) | ===> btop++ v.1.2.9
2022/09/05 (22:48:21) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/07 (02:26:54) | ===> btop++ v.1.2.9
2022/09/07 (02:26:54) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/10 (00:15:41) | ===> btop++ v.1.2.9
2022/09/10 (00:15:41) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/10 (00:18:09) | ===> btop++ v.1.2.9
2022/09/10 (00:18:09) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/20 (17:27:16) | ===> btop++ v.1.2.9
2022/09/20 (17:27:16) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/20 (21:38:03) | ===> btop++ v.1.2.9
2022/09/20 (21:38:03) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (15:16:30) | ===> btop++ v.1.2.9
2022/09/23 (15:16:30) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (15:16:46) | ===> btop++ v.1.2.9
2022/09/23 (15:16:46) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (15:17:40) | ===> btop++ v.1.2.9
2022/09/23 (15:17:40) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (15:41:42) | ===> btop++ v.1.2.9
2022/09/23 (15:41:42) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (15:41:55) | ===> btop++ v.1.2.9
2022/09/23 (15:41:55) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (16:19:52) | ===> btop++ v.1.2.9
2022/09/23 (16:19:52) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/23 (16:24:30) | ===> btop++ v.1.2.9
2022/09/23 (16:24:30) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/24 (11:48:15) | ===> btop++ v.1.2.9
2022/09/24 (11:48:15) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/10/01 (20:25:59) | ===> btop++ v.1.2.9
2022/10/01 (20:25:59) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)
