a52dec 0.7.4-11.1
aalib 1.4rc5-14.1
acl 2.3.1-2
acpi 1.7-3.1
acpid 2.0.33-1
acpid-runit 20180314-5
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
aircrack-ng 1.6-6
airshipper 0.6.0-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
alsa-utils-runit 20180226-5
amd-ucode 20220309.cd01f85-1
aom 3.3.0-1
appstream-glib 0.7.18-2
archlinux-appstream-data 20220211-1
archlinux-keyring 20220224-1
archlinux-mirrorlist 20200920-1
argon2 20190702-4
arm-none-eabi-binutils 2.37-1
arm-none-eabi-gcc 11.2.0-1
arm-none-eabi-newlib 4.1.0-1
artix-archlinux-support 2-1
artix-backgrounds 0.8.6-3
artix-branding-base 20220215-1
artix-dark-theme 20201126-3
artix-desktop-presets 20220119-1
artix-grub-theme 0.7-5
artix-gtk-presets 20220215-1
artix-icons 0.8.6-3
artix-keyring 20220309-1
artix-mirrorlist 20220318-1
artix-qt-presets 20220209-1
aseprite 1.2.30-5
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1.1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.7-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
avahi-runit 20180226-3
avr-binutils 2.37-1
avr-gcc 11.2.0-1
avr-libc 2.1.0-1
avrdude 1:6.4-1
b43-fwcutter 019-3.1
babl 0.1.90-1
base 2-2.11
bash 5.1.016-1
bc 1.07.1-4.1
binutils 2.38-3
bison 3.8.2-3
blas 3.10.0-1
blocaled 0.3-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-runit 20180226-5
boost-libs 1.78.0-1
bootlogd 2.89-3
bridge-utils 1.7.1-1
brotli 1.0.9-7
btop 1.2.5-1
